segment_dimension,segment_value,treatment,n_control,n_treatment,control_conversion,treatment_conversion,conversion_lift,conversion_p_value,control_spend,treatment_spend,spend_lift,spend_p_value,visit_lift,visit_p_value,policy,incremental_conversions_per_100k,incremental_spend_per_100k,spend_sig_bh
channel,Multichannel,Mens E-Mail,2606,2577,0.006907137375287797,0.017074117190531625,0.010166979815243827,0.0007618181165847115,0.6157405986185724,1.824870003880481,1.2091294052619086,0.0037895856589336644,0.08293672314062261,1.7763568394002505e-15,target,1016.6979815243827,120912.94052619085,True
channel,Multichannel,Womens E-Mail,2606,2579,0.006907137375287797,0.013958898797983715,0.0070517614226959175,0.012389697763934615,0.6157405986185724,1.7732764637456377,1.1575358651270653,0.011625472703167512,0.04709997539010549,2.317867682233299e-06,target,705.1761422695918,115753.58651270653,True
history_segment,5) $500 - $750,Mens E-Mail,1652,1597,0.005447941888619854,0.013775829680651221,0.008327887792031367,0.014640830369248459,0.5388559322033899,1.6418659987476518,1.103010066544262,0.028076723359398488,0.09895180279003762,1.1102230246251565e-14,target,832.7887792031366,110301.0066544262,True
recency_band,1-3 months,Mens E-Mail,7438,7469,0.009007797795106211,0.01633418128263489,0.007326383487528679,6.401420463264529e-05,0.9435506856681903,1.9911487481590573,1.047598062490867,0.0004343429092003719,0.08498165996578994,0.0,target,732.638348752868,104759.8062490867,True
customer_type,Newbie,Mens E-Mail,10695,10686,0.0037400654511453952,0.011136065880591428,0.007396000429446033,3.096636280730536e-10,0.37244787283777464,1.3324677147669848,0.9600198419292101,2.812421631419614e-07,0.0753050156199182,0.0,target,739.6000429446033,96001.98419292101,True
channel,Web,Mens E-Mail,9373,9490,0.005761229062199936,0.012961011591148578,0.007199782528948642,2.9275650859084124e-07,0.6713858956577403,1.5218345626975764,0.8504486670398361,0.00023632177099869477,0.07556315210258555,0.0,target,719.9782528948642,85044.86670398361,True
zip_code,Surburban,Mens E-Mail,9625,9501,0.004987012987012987,0.012419745289969477,0.00743273230295649,3.0109490012364404e-08,0.6694420779220779,1.4732901799810545,0.8038481020589766,0.0004603241451110388,0.07433718665294288,0.0,target,743.273230295649,80384.81020589767,True
recency_band,10-12 months,Mens E-Mail,4403,4477,0.0029525323642970703,0.009604645968282331,0.0066521136039852605,7.52017412777306e-05,0.3882398364751306,1.1603216439580077,0.7720818074828771,0.007170287878431617,0.07039340194420408,0.0,target,665.211360398526,77208.18074828772,True
zip_code,Rural,Mens E-Mail,3139,3243,0.00828289264096846,0.013567684242984891,0.00528479160201643,0.04271535206467503,0.7671360305829882,1.5226364477335799,0.7555004171505917,0.03563074737254956,0.07339826795812915,8.681944052568724e-14,target,528.479160201643,75550.04171505917,True
zip_code,Urban,Mens E-Mail,8542,8563,0.005619292905642706,0.012262057690061895,0.006642764784419188,3.956111962910569e-06,0.5920053851557013,1.328512203666939,0.7365068185112377,0.0006946326294116111,0.07964111521494538,0.0,target,664.2764784419188,73650.68185112377,True
customer_type,Newbie,Womens E-Mail,10695,10763,0.0037400654511453952,0.009012357149493635,0.00527229169834824,1.2454107165549289e-06,0.37244787283777464,1.1047356684939145,0.7322877956561398,1.466326462205659e-05,0.05041718035881851,0.0,target,527.229169834824,73228.77956561398,True
history_segment,2) $100 - $200,Mens E-Mail,4836,4691,0.0041356492969396195,0.008953314858239182,0.004817665561299562,0.003458857301556817,0.42289495450785775,1.127143466211895,0.7042485117040373,0.00643794200303656,0.0691095120991766,0.0,target,481.7665561299562,70424.85117040374,True
category_history,Mens only,Mens E-Mail,9638,9558,0.005499066196306288,0.011508683825068006,0.006009617628761718,5.7023444119952416e-06,0.6954264370201286,1.3781617493199414,0.6827353122998128,0.00212822180102234,0.06915516417042274,0.0,target,600.9617628761719,68273.53122998128,True
zip_code,Urban,Womens E-Mail,8542,8556,0.005619292905642706,0.009233286582515194,0.003613993676872488,0.005926552614843095,0.5920053851557013,1.2611407199625992,0.6691353348068979,0.0018360443199288657,0.046943031758265336,0.0,target,361.3993676872488,66913.53348068979,True
recency_band,4-6 months,Womens E-Mail,4766,4753,0.005455308434746118,0.007994950557542605,0.0025396421227964865,0.1295112704960244,0.5191879983214435,1.1846707342730907,0.6654827359516472,0.018928980005668755,0.04047438201673807,2.6705386790837338e-09,target,253.96421227964865,66548.27359516472,True
category_history,Womens only,Womens E-Mail,9519,9647,0.005147599537766572,0.010262257696693273,0.005114658158926701,5.244316578201236e-05,0.4905641348881185,1.122212086659065,0.6316479517709466,0.00023497943310307994,0.07398533502084667,0.0,target,511.4658158926701,63164.79517709466,True
history_segment,1) $0 - $100,Womens E-Mail,7612,7634,0.004203888596952181,0.007990568509300498,0.003786679912348317,0.0026784363362160057,0.516893063583815,1.142712863505371,0.6258197999215559,0.005078596835942093,0.04678188996291309,0.0,target,378.6679912348317,62581.97999215559,True
category_history,Womens only,Mens E-Mail,9519,9568,0.005147599537766572,0.010869565217391304,0.005721965679624732,9.312603645339479e-06,0.4905641348881185,1.106294941471572,0.6157308065834535,0.0004891358520919589,0.0705795766326878,0.0,target,572.1965679624732,61573.080658345345,True
recency_band,7-9 months,Mens E-Mail,4699,4688,0.003404979782932539,0.011305460750853242,0.007900480967920703,7.446447755299346e-06,0.5759374334964886,1.1810238907849828,0.6050864572884942,0.028360515513876004,0.07037142823939738,0.0,target,790.0480967920703,60508.64572884942,True
customer_type,Existing,Mens E-Mail,10611,10621,0.007727829610781264,0.013934657753507202,0.006206828142725938,1.2510598620840696e-05,0.9353501083780982,1.5133170134638922,0.5779669050857941,0.009440424495721876,0.07783285081536925,0.0,target,620.6828142725938,57796.690508579406,True
channel,Phone,Mens E-Mail,9327,9240,0.005360780529645117,0.010822510822510822,0.005461730292865705,3.2281887528462505e-05,0.6444526643079233,1.2085270562770565,0.5640743919691332,0.006077313232590328,0.07560427135853316,0.0,target,546.1730292865706,56407.43919691332,True
history_segment,1) $0 - $100,Mens E-Mail,7612,7724,0.004203888596952181,0.009192128430864838,0.004988239833912657,0.00015589461902365542,0.516893063583815,1.0551760745727603,0.5382830109889453,0.013149698788124822,0.06855191712613816,0.0,target,498.8239833912657,53828.301098894524,True
history_segment,3) $200 - $350,Mens E-Mail,4044,4090,0.006923837784371909,0.015403422982885086,0.008479585198513176,0.0002774416324644591,0.9328808110781406,1.4694621026894867,0.5365812916113462,0.13606410314804518,0.08439790664548161,0.0,target,847.9585198513176,53658.12916113462,False
recency_band,4-6 months,Mens E-Mail,4766,4673,0.005455308434746118,0.010485769313075112,0.005030460878328993,0.005919136877609921,0.5191879983214435,1.0075754333404665,0.48838743501902304,0.04594253298756025,0.07550495659972527,0.0,target,503.04608783289933,48838.7435019023,True
history_segment,2) $100 - $200,Womens E-Mail,4836,4727,0.0041356492969396195,0.007827374656230167,0.0036917253592905477,0.01903170094823059,0.42289495450785775,0.8812883435582823,0.4583933890504246,0.030225163745763232,0.04250418595601041,4.4074521809989164e-11,target,369.1725359290548,45839.33890504246,True
channel,Web,Womens E-Mail,9373,9354,0.005761229062199936,0.009193927731451786,0.0034326986692518498,0.006396903809730903,0.6713858956577403,1.0877025871285013,0.416316691470761,0.037279752498983805,0.04567652217377893,0.0,target,343.269866925185,41631.6691470761,True
recency_band,10-12 months,Womens E-Mail,4403,4521,0.0029525323642970703,0.007078080070780801,0.004125547706483731,0.005944338763743229,0.3882398364751306,0.7982459632824596,0.41000612680732895,0.06277165708612872,0.04350224101190181,9.352074670232469e-12,target,412.5547706483731,41000.6126807329,True
recency_band,1-3 months,Womens E-Mail,7438,7486,0.009007797795106211,0.011755276516163505,0.002747478721057293,0.09785450446648447,0.9435506856681903,1.3021506812717074,0.3585999956035171,0.1381756469540426,0.04400017614667931,2.2448709557920665e-13,target,274.7478721057293,35859.99956035171,False
recency_band,7-9 months,Womens E-Mail,4699,4627,0.003404979782932539,0.006699805489518046,0.0032948257065855075,0.0246631692817898,0.5759374334964886,0.8754268424465096,0.29948940895002096,0.28409554250932995,0.05379276582535783,0.0,target,329.48257065855074,29948.940895002095,False
zip_code,Surburban,Womens E-Mail,9625,9650,0.004987012987012987,0.0075647668393782385,0.0025777538523652516,0.023476843873355913,0.6694420779220779,0.8466134715025907,0.17717139358051281,0.3489799425355107,0.04886266065540677,0.0,target,257.77538523652515,17717.13935805128,False
